fid,table,foreign_table,foreign_column
AP_INVOICE_LINES_ALL.AP_INVOICES_ALL.RETAINED_INVOICE_ID,AP_INVOICE_LINES_ALL,AP_INVOICES_ALL,RETAINED_INVOICE_ID
AP_INVOICE_LINES_ALL.AP_INVOICES_ALL.PREPAY_INVOICE_ID,AP_INVOICE_LINES_ALL,AP_INVOICES_ALL,PREPAY_INVOICE_ID
AP_HOLDS_ALL.AP_INVOICES_ALL.INVOICE_ID,AP_HOLDS_ALL,AP_INVOICES_ALL,INVOICE_ID
FA_MC_ASSET_INVOICES.AP_INVOICES_ALL.INVOICE_ID,FA_MC_ASSET_INVOICES,AP_INVOICES_ALL,INVOICE_ID
AP_INV_APRVL_HIST_ALL.AP_INVOICES_ALL.INVOICE_ID,AP_INV_APRVL_HIST_ALL,AP_INVOICES_ALL,INVOICE_ID
AP_SELF_ASSESSED_TAX_DIST_ALL.AP_INVOICES_ALL.INVOICE_ID,AP_SELF_ASSESSED_TAX_DIST_ALL,AP_INVOICES_ALL,INVOICE_ID
AP_UNSELECTED_INVOICES_ALL.AP_INVOICES_ALL.INVOICE_ID,AP_UNSELECTED_INVOICES_ALL,AP_INVOICES_ALL,INVOICE_ID
AP_INVOICES_ALL.AP_INVOICES_ALL.TAX_RELATED_INVOICE_ID,AP_INVOICES_ALL,AP_INVOICES_ALL,TAX_RELATED_INVOICE_ID
FA_MASS_ADDITIONS.AP_INVOICES_ALL.INVOICE_ID,FA_MASS_ADDITIONS,AP_INVOICES_ALL,INVOICE_ID
AP_PAYMENT_SCHEDULES_ALL.AP_INVOICES_ALL.INVOICE_ID,AP_PAYMENT_SCHEDULES_ALL,AP_INVOICES_ALL,INVOICE_ID
"AP_AWT_TAX_RATES_ALL.AP_INVOICES_ALL.VENDOR_ID, INVOICE_NUM, ORG_ID",AP_AWT_TAX_RATES_ALL,AP_INVOICES_ALL,"VENDOR_ID, INVOICE_NUM, ORG_ID"
AP_INVOICE_DISTRIBUTIONS_ALL.AP_INVOICES_ALL.INVOICE_ID,AP_INVOICE_DISTRIBUTIONS_ALL,AP_INVOICES_ALL,INVOICE_ID
AP_INVOICE_DISTRIBUTIONS_ALL.AP_INVOICES_ALL.PARENT_INVOICE_ID,AP_INVOICE_DISTRIBUTIONS_ALL,AP_INVOICES_ALL,PARENT_INVOICE_ID
AP_INVOICE_DISTRIBUTIONS_ALL.AP_INVOICES_ALL.AWT_INVOICE_ID,AP_INVOICE_DISTRIBUTIONS_ALL,AP_INVOICES_ALL,AWT_INVOICE_ID
AP_INVOICE_DISTRIBUTIONS_ALL.AP_INVOICES_ALL.COMPANY_PREPAID_INVOICE_ID,AP_INVOICE_DISTRIBUTIONS_ALL,AP_INVOICES_ALL,COMPANY_PREPAID_INVOICE_ID
AP_INVOICE_RELATIONSHIPS.AP_INVOICES_ALL.RELATED_INVOICE_ID,AP_INVOICE_RELATIONSHIPS,AP_INVOICES_ALL,RELATED_INVOICE_ID
AP_INVOICE_RELATIONSHIPS.AP_INVOICES_ALL.ORIGINAL_INVOICE_ID,AP_INVOICE_RELATIONSHIPS,AP_INVOICES_ALL,ORIGINAL_INVOICE_ID
AP_AWT_TEMP_DISTRIBUTIONS_ALL.AP_INVOICES_ALL.INVOICE_ID,AP_AWT_TEMP_DISTRIBUTIONS_ALL,AP_INVOICES_ALL,INVOICE_ID
AP_INVOICE_LINES_ALL.AP_INVOICES_ALL.INVOICE_ID,AP_INVOICE_LINES_ALL,AP_INVOICES_ALL,INVOICE_ID
AP_INVOICE_LINES_ALL.AP_INVOICES_ALL.CORRECTED_INV_ID,AP_INVOICE_LINES_ALL,AP_INVOICES_ALL,CORRECTED_INV_ID
"AP_INVOICE_LINES_ALL.AP_INVOICE_LINES_ALL.CORRECTED_INV_ID, CORRECTED_LINE_NUMBER",AP_INVOICE_LINES_ALL,AP_INVOICE_LINES_ALL,"CORRECTED_INV_ID, CORRECTED_LINE_NUMBER"
AP_INVOICE_LINES_ALL.PO_HEADERS_ALL.PO_HEADER_ID,AP_INVOICE_LINES_ALL,PO_HEADERS_ALL,PO_HEADER_ID
AP_INVOICE_LINES_ALL.PO_LINE_LOCATIONS_ALL.PO_LINE_ID,AP_INVOICE_LINES_ALL,PO_LINE_LOCATIONS_ALL,PO_LINE_ID
AP_INVOICE_LINES_ALL.PO_DISTRIBUTIONS_ALL.PO_DISTRIBUTION_ID,AP_INVOICE_LINES_ALL,PO_DISTRIBUTIONS_ALL,PO_DISTRIBUTION_ID
AP_INVOICE_LINES_ALL.RCV_TRANSACTIONS.RCV_TRANSACTION_ID,AP_INVOICE_LINES_ALL,RCV_TRANSACTIONS,RCV_TRANSACTION_ID
AP_INVOICE_LINES_ALL.FA_CATEGORIES_B.ASSET_CATEGORY_ID,AP_INVOICE_LINES_ALL,FA_CATEGORIES_B,ASSET_CATEGORY_ID
AP_INVOICE_LINES_ALL.PJF_PROJECTS_ALL_B.PJC_PROJECT_ID,AP_INVOICE_LINES_ALL,PJF_PROJECTS_ALL_B,PJC_PROJECT_ID
AP_INVOICE_LINES_ALL.PO_LINE_LOCATIONS_ALL.PO_LINE_LOCATION_ID,AP_INVOICE_LINES_ALL,PO_LINE_LOCATIONS_ALL,PO_LINE_LOCATION_ID
AP_INVOICE_LINES_ALL.AP_INVOICES_ALL.PA_CC_AR_INVOICE_ID,AP_INVOICE_LINES_ALL,AP_INVOICES_ALL,PA_CC_AR_INVOICE_ID
"AP_INVOICE_LINES_ALL.AP_INVOICE_LINES_ALL.PA_CC_AR_INVOICE_ID, PA_CC_AR_INVOICE_LINE_NUM",AP_INVOICE_LINES_ALL,AP_INVOICE_LINES_ALL,"PA_CC_AR_INVOICE_ID, PA_CC_AR_INVOICE_LINE_NUM"
AP_INVOICE_LINES_ALL.AP_AWT_GROUPS.AWT_GROUP_ID,AP_INVOICE_LINES_ALL,AP_AWT_GROUPS,AWT_GROUP_ID
AP_INVOICE_LINES_ALL.AP_AWT_TAX_RATES_ALL.TAX_RATE_ID,AP_INVOICE_LINES_ALL,AP_AWT_TAX_RATES_ALL,TAX_RATE_ID
AP_INVOICE_LINES_ALL.AP_INVOICES_ALL.RETAINED_INVOICE_ID,AP_INVOICE_LINES_ALL,AP_INVOICES_ALL,RETAINED_INVOICE_ID
"AP_INVOICE_LINES_ALL.EGP_SYSTEM_ITEMS_B.INVENTORY_ITEM_ID, ORG_ID",AP_INVOICE_LINES_ALL,EGP_SYSTEM_ITEMS_B,"INVENTORY_ITEM_ID, ORG_ID"
"AP_INVOICE_LINES_ALL.AP_INVOICE_LINES_ALL.RETAINED_INVOICE_ID, RETAINED_LINE_NUMBER",AP_INVOICE_LINES_ALL,AP_INVOICE_LINES_ALL,"RETAINED_INVOICE_ID, RETAINED_LINE_NUMBER"
AP_INVOICE_LINES_ALL.AP_DISTRIBUTION_SETS_ALL.DISTRIBUTION_SET_ID,AP_INVOICE_LINES_ALL,AP_DISTRIBUTION_SETS_ALL,DISTRIBUTION_SET_ID
AP_INVOICE_LINES_ALL.GL_LEDGERS.SET_OF_BOOKS_ID,AP_INVOICE_LINES_ALL,GL_LEDGERS,SET_OF_BOOKS_ID
